m_x,r,T,rho,P,l,X,Y,He3,C12,N14,O16,T6,n_e,m_y,X 7Be,pp,B8,N13,O15,F17,Be7,pep,hep
1.5e-06,0.00241,15500000.0,150.0,2.34e+17,1e-05,0.36468,0.6202,8.9e-06,7.8e-06,0.00373,0.00606,15.474121951219512,2.011,9.016829268292682e-07,1.58e-11,5.841463414634146e-06,7.116341463414634e-05,4.247560975609756e-05,5.889024390243902e-05,6.507073170731706e-05,2.867560975609756e-05,9.124390243902437e-06,2.5009756097560974e-06
1.6e-06,0.00246,15500000.0,150.0,2.34e+17,1e-05,0.36469,0.6202,8.9e-06,7.8e-06,0.00373,0.00606,15.474,2.011,9.34e-07,1.58e-11,6.05e-06,7.37e-05,4.4e-05,6.1e-05,6.74e-05,2.97e-05,9.45e-06,2.59e-06
1.7e-06,0.00252,15500000.0,150.0,2.34e+17,1e-05,0.3647,0.62019,8.9e-06,7.8e-06,0.00373,0.00607,15.473853658536585,2.011,9.787804878048781e-07,1.58e-11,6.3426829268292685e-06,7.724146341463416e-05,4.6121951219512196e-05,6.394146341463416e-05,7.064878048780488e-05,3.113414634146342e-05,9.910975609756098e-06,2.715853658536586e-06
1.8e-06,0.00257,15500000.0,150.0,2.34e+17,2e-05,0.3647,0.62018,8.9e-06,7.8e-06,0.00373,0.00607,15.473731707317073,2.011,1.0160975609756095e-06,1.58e-11,6.586585365853657e-06,8.019268292682926e-05,4.7890243902439014e-05,6.639268292682926e-05,7.33560975609756e-05,3.232926829268292e-05,1.029512195121951e-05,2.820731707317073e-06
1.9e-06,0.00262,15500000.0,150.0,2.34e+17,2e-05,0.36471,0.62017,8.9e-06,7.8e-06,0.00373,0.00607,15.473609756097561,2.011,1.0534146341463413e-06,1.58e-11,6.830487804878048e-06,8.314390243902439e-05,4.965853658536585e-05,6.884390243902439e-05,7.606341463414633e-05,3.352439024390244e-05,1.0679268292682925e-05,2.925609756097561e-06
2e-06,0.00267,15500000.0,150.0,2.34e+17,2e-05,0.36472,0.62017,8.9e-06,7.8e-06,0.00373,0.00607,15.473487804878049,2.011,1.0907317073170732e-06,1.58e-11,7.074390243902438e-06,8.60951219512195e-05,5.1426829268292685e-05,7.129512195121952e-05,7.877073170731707e-05,3.471951219512195e-05,1.106341463414634e-05,3.030487804878049e-06
2.1e-06,0.00271,15500000.0,150.0,2.34e+17,2e-05,0.36472,0.62016,8.91e-06,7.8e-06,0.00373,0.00607,15.47339024390244,2.011,1.1205853658536585e-06,1.58e-11,7.269512195121951e-06,8.845609756097561e-05,5.2841463414634145e-05,7.325609756097562e-05,8.093658536585366e-05,3.567560975609756e-05,1.1370731707317073e-05,3.114390243902439e-06
2.3e-06,0.00276,15500000.0,150.0,2.34e+17,2e-05,0.36473,0.62015,8.91e-06,7.8e-06,0.00373,0.00607,15.473268292682928,2.011,1.1579024390243901e-06,1.58e-11,7.51341463414634e-06,9.140731707317071e-05,5.460975609756096e-05,7.570731707317072e-05,8.364390243902437e-05,3.687073170731707e-05,1.1754878048780487e-05,3.2192682926829262e-06
2.4e-06,0.0028,15500000.0,150.0,2.34e+17,2e-05,0.36474,0.62015,8.91e-06,7.8e-06,0.00374,0.00607,15.473170731707318,2.011,1.1877560975609755e-06,1.58e-11,7.708536585365853e-06,9.376829268292682e-05,5.602439024390244e-05,7.766829268292683e-05,8.580975609756096e-05,3.782682926829268e-05,1.2062195121951217e-05,3.3031707317073168e-06
2.5e-06,0.00285,15500000.0,150.0,2.34e+17,2e-05,0.36474,0.62014,8.91e-06,7.8e-06,0.00374,0.00607,15.473048780487806,2.011,1.2250731707317073e-06,1.58e-11,7.952439024390243e-06,9.671951219512195e-05,5.779268292682927e-05,8.011951219512195e-05,8.85170731707317e-05,3.902195121951219e-05,1.2446341463414634e-05,3.4080487804878047e-06
