R/R_sun,T_6,log10(n_e/N_A),M/M_sun,X 7Be,pp nu frac,b8 nu frac,N13 frac,O15 frac,F17 frac,Be7 frac,pep frac,hep frac
0.45615,4.335,0.263,3.84E-04,1.69E-22,2.39E-07,0.00E+00,8.37E-14,2.97E-18,0.00E+00,4.19E-15,1.04E-08,2.56E-09
0.45656,4.331,0.261,3.83E-04,1.64E-22,2.35E-07,0.00E+00,8.08E-14,2.86E-18,0.00E+00,4.04E-15,1.02E-08,2.50E-09
0.45697,4.326,0.259,3.82E-04,1.58E-22,2.32E-07,0.00E+00,7.79E-14,2.75E-18,0.00E+00,3.89E-15,1.01E-08,2.45E-09
0.45738,4.322,0.257,3.81E-04,1.54E-22,2.29E-07,0.00E+00,7.52E-14,2.64E-18,0.00E+00,3.75E-15,9.88E-09,2.39E-09
0.45779,4.317,0.255,3.80E-04,1.50E-22,2.26E-07,0.00E+00,7.26E-14,2.54E-18,0.00E+00,3.62E-15,9.71E-09,2.34E-09
0.4582,4.313,0.253,3.79E-04,1.46E-22,2.23E-07,0.00E+00,7.01E-14,2.45E-18,0.00E+00,3.49E-15,9.54E-09,2.29E-09
0.45861,4.308,0.251,3.78E-04,1.42E-22,2.20E-07,0.00E+00,6.76E-14,2.35E-18,0.00E+00,3.37E-15,9.37E-09,2.24E-09
0.45902,4.304,0.249,3.77E-04,1.38E-22,2.17E-07,0.00E+00,6.53E-14,2.26E-18,0.00E+00,3.25E-15,9.21E-09,2.19E-09
0.45943,4.299,0.248,3.76E-04,1.33E-22,2.14E-07,0.00E+00,6.30E-14,2.18E-18,0.00E+00,3.13E-15,9.05E-09,2.14E-09
0.45984,4.295,0.246,3.75E-04,1.29E-22,2.11E-07,0.00E+00,6.07E-14,2.09E-18,0.00E+00,3.02E-15,8.89E-09,2.10E-09
0.46025,4.291,0.244,3.74E-04,1.25E-22,2.08E-07,0.00E+00,5.86E-14,2.01E-18,0.00E+00,2.91E-15,8.74E-09,2.05E-09
0.46066,4.286,0.242,3.73E-04,1.21E-22,2.06E-07,0.00E+00,5.65E-14,1.93E-18,0.00E+00,2.80E-15,8.58E-09,2.00E-09
0.46107,4.282,0.24,3.72E-04,1.18E-22,2.03E-07,0.00E+00,5.46E-14,1.86E-18,0.00E+00,2.70E-15,8.44E-09,1.96E-09
0.46148,4.277,0.238,3.71E-04,1.15E-22,2.00E-07,0.00E+00,5.27E-14,1.79E-18,0.00E+00,2.61E-15,8.29E-09,1.92E-09
0.46189,4.273,0.236,3.70E-04,1.11E-22,1.97E-07,0.00E+00,5.08E-14,1.72E-18,0.00E+00,2.52E-15,8.15E-09,1.88E-09
0.4623,4.268,0.234,3.69E-04,1.08E-22,1.95E-07,0.00E+00,4.91E-14,1.66E-18,0.00E+00,2.43E-15,8.01E-09,1.84E-09
0.4627,4.264,0.232,3.68E-04,1.05E-22,1.92E-07,0.00E+00,4.74E-14,1.60E-18,0.00E+00,2.34E-15,7.87E-09,1.80E-09
0.46311,4.26,0.23,3.67E-04,1.02E-22,1.90E-07,0.00E+00,4.57E-14,1.53E-18,0.00E+00,2.26E-15,7.73E-09,1.76E-09
0.46352,4.255,0.228,3.66E-04,9.89E-23,1.87E-07,0.00E+00,4.41E-14,1.48E-18,0.00E+00,2.18E-15,7.60E-09,1.72E-09
0.46393,4.251,0.227,3.65E-04,9.58E-23,1.85E-07,0.00E+00,4.25E-14,1.42E-18,0.00E+00,2.10E-15,7.47E-09,1.68E-09
0.46434,4.246,0.225,3.64E-04,9.27E-23,1.82E-07,0.00E+00,4.10E-14,1.36E-18,0.00E+00,2.02E-15,7.33E-09,1.65E-09
0.46475,4.242,0.223,3.63E-04,8.99E-23,1.80E-07,0.00E+00,3.96E-14,1.31E-18,0.00E+00,1.95E-15,7.21E-09,1.61E-09
0.46516,4.238,0.221,3.62E-04,8.76E-23,1.77E-07,0.00E+00,3.82E-14,1.26E-18,0.00E+00,1.88E-15,7.08E-09,1.58E-09
0.46557,4.233,0.219,3.61E-04,8.52E-23,1.75E-07,0.00E+00,3.69E-14,1.22E-18,0.00E+00,1.82E-15,6.96E-09,1.54E-09
0.46598,4.229,0.217,3.60E-04,8.29E-23,1.72E-07,0.00E+00,3.56E-14,1.17E-18,0.00E+00,1.75E-15,6.84E-09,1.51E-09
0.46639,4.224,0.215,3.59E-04,8.06E-23,1.70E-07,0.00E+00,3.44E-14,1.13E-18,0.00E+00,1.69E-15,6.72E-09,1.48E-09
0.4668,4.22,0.213,3.58E-04,7.82E-23,1.68E-07,0.00E+00,3.32E-14,1.08E-18,0.00E+00,1.63E-15,6.61E-09,1.44E-09
0.46721,4.216,0.211,3.57E-04,7.59E-23,1.66E-07,0.00E+00,3.20E-14,1.04E-18,0.00E+00,1.57E-15,6.49E-09,1.41E-09
0.46762,4.211,0.209,3.57E-04,7.36E-23,1.63E-07,0.00E+00,3.09E-14,1.00E-18,0.00E+00,1.52E-15,6.38E-09,1.38E-09
0.46803,4.207,0.208,3.56E-04,7.13E-23,1.61E-07,0.00E+00,2.98E-14,9.62E-19,0.00E+00,1.46E-15,6.27E-09,1.35E-09
0.46844,4.203,0.206,3.55E-04,6.89E-23,1.59E-07,0.00E+00,2.87E-14,9.24E-19,0.00E+00,1.41E-15,6.16E-09,1.32E-09
0.46885,4.198,0.204,3.54E-04,6.69E-23,1.57E-07,0.00E+00,2.77E-14,8.92E-19,0.00E+00,1.36E-15,6.05E-09,1.30E-09
0.46926,4.194,0.202,3.53E-04,6.52E-23,1.55E-07,0.00E+00,2.68E-14,8.65E-19,0.00E+00,1.31E-15,5.95E-09,1.27E-09
0.46967,4.19,0.2,3.52E-04,6.35E-23,1.53E-07,0.00E+00,2.58E-14,8.37E-19,0.00E+00,1.27E-15,5.84E-09,1.24E-09
0.47008,4.185,0.198,3.51E-04,6.17E-23,1.51E-07,0.00E+00,2.50E-14,8.09E-19,0.00E+00,1.22E-15,5.74E-09,1.21E-09
0.47049,4.181,0.196,3.50E-04,6.00E-23,1.49E-07,0.00E+00,2.41E-14,7.80E-19,0.00E+00,1.18E-15,5.64E-09,1.19E-09
0.4709,4.177,0.194,3.49E-04,5.83E-23,1.47E-07,0.00E+00,2.32E-14,7.51E-19,0.00E+00,1.14E-15,5.55E-09,1.16E-09
0.47131,4.173,0.192,3.48E-04,5.66E-23,1.45E-07,0.00E+00,2.24E-14,7.22E-19,0.00E+00,1.10E-15,5.45E-09,1.14E-09
0.47172,4.168,0.19,3.47E-04,5.48E-23,1.43E-07,0.00E+00,2.16E-14,6.92E-19,0.00E+00,1.06E-15,5.36E-09,1.11E-09
0.47213,4.164,0.189,3.46E-04,5.31E-23,1.41E-07,0.00E+00,2.09E-14,6.62E-19,0.00E+00,1.02E-15,5.26E-09,1.09E-09
0.47254,4.16,0.187,3.45E-04,5.14E-23,1.39E-07,0.00E+00,2.01E-14,6.31E-19,0.00E+00,9.84E-16,5.17E-09,1.07E-09
0.47295,4.155,0.185,3.44E-04,4.99E-23,1.37E-07,0.00E+00,1.94E-14,5.91E-19,0.00E+00,9.49E-16,5.08E-09,1.04E-09
0.47336,4.151,0.183,3.43E-04,4.87E-23,1.35E-07,0.00E+00,1.88E-14,5.37E-19,0.00E+00,9.17E-16,4.99E-09,1.02E-09
0.47377,4.147,0.181,3.43E-04,4.76E-23,1.33E-07,0.00E+00,1.81E-14,4.85E-19,0.00E+00,8.86E-16,4.91E-09,1.00E-09
0.47418,4.143,0.179,3.42E-04,4.64E-23,1.32E-07,0.00E+00,1.75E-14,4.36E-19,0.00E+00,8.56E-16,4.82E-09,9.80E-10
0.47459,4.138,0.177,3.41E-04,4.53E-23,1.30E-07,0.00E+00,1.69E-14,3.89E-19,0.00E+00,8.27E-16,4.74E-09,9.59E-10
0.475,4.134,0.175,3.40E-04,4.42E-23,1.28E-07,0.00E+00,1.63E-14,3.45E-19,0.00E+00,7.99E-16,4.66E-09,9.39E-10
0.47541,4.13,0.173,3.39E-04,4.30E-23,1.26E-07,0.00E+00,1.58E-14,3.04E-19,0.00E+00,7.71E-16,4.58E-09,9.19E-10
0.47582,4.126,0.172,3.38E-04,4.19E-23,1.25E-07,0.00E+00,1.52E-14,2.65E-19,0.00E+00,7.44E-16,4.50E-09,9.00E-10
0.47623,4.121,0.17,3.37E-04,4.07E-23,1.23E-07,0.00E+00,1.47E-14,2.29E-19,0.00E+00,7.18E-16,4.42E-09,8.81E-10
0.47664,4.117,0.168,3.37E-04,3.96E-23,1.21E-07,0.00E+00,1.42E-14,1.95E-19,0.00E+00,6.93E-16,4.35E-09,8.62E-10
0.47705,4.113,0.166,3.36E-04,3.85E-23,1.20E-07,0.00E+00,1.37E-14,1.64E-19,0.00E+00,6.69E-16,4.27E-09,8.44E-10
0.47746,4.109,0.164,3.35E-04,3.73E-23,1.18E-07,0.00E+00,1.32E-14,1.35E-19,0.00E+00,6.45E-16,4.20E-09,8.26E-10
0.47787,4.105,0.162,3.34E-04,3.62E-23,1.17E-07,0.00E+00,1.27E-14,1.08E-19,0.00E+00,6.22E-16,4.13E-09,8.09E-10
0.47828,4.1,0.16,3.33E-04,3.50E-23,1.15E-07,0.00E+00,1.23E-14,8.42E-20,0.00E+00,6.00E-16,4.05E-09,7.92E-10
0.47869,4.096,0.158,3.32E-04,3.39E-23,1.13E-07,0.00E+00,1.18E-14,6.23E-20,0.00E+00,5.78E-16,3.98E-09,7.75E-10
0.4791,4.092,0.157,3.31E-04,3.28E-23,1.12E-07,0.00E+00,1.14E-14,4.26E-20,0.00E+00,5.57E-16,3.92E-09,7.59E-10
0.47951,4.088,0.155,3.30E-04,3.16E-23,1.10E-07,0.00E+00,1.10E-14,2.52E-20,0.00E+00,5.37E-16,3.85E-09,7.43E-10
0.47992,4.084,0.153,3.30E-04,3.05E-23,1.09E-07,0.00E+00,1.06E-14,9.96E-21,0.00E+00,5.18E-16,3.78E-09,7.27E-10
0.48033,4.079,0.151,3.29E-04,2.95E-23,1.07E-07,0.00E+00,1.02E-14,0.00E+00,0.00E+00,4.99E-16,3.71E-09,7.11E-10
0.48074,4.075,0.149,3.28E-04,2.87E-23,1.06E-07,0.00E+00,9.86E-15,0.00E+00,0.00E+00,4.82E-16,3.65E-09,6.96E-10
0.48115,4.071,0.147,3.27E-04,2.80E-23,1.05E-07,0.00E+00,9.52E-15,0.00E+00,0.00E+00,4.66E-16,3.59E-09,6.82E-10
0.48156,4.067,0.145,3.26E-04,2.73E-23,1.03E-07,0.00E+00,9.19E-15,0.00E+00,0.00E+00,4.50E-16,3.53E-09,6.68E-10
0.48197,4.063,0.143,3.25E-04,2.66E-23,1.02E-07,0.00E+00,8.87E-15,0.00E+00,0.00E+00,4.34E-16,3.47E-09,6.54E-10
0.48238,4.059,0.142,3.24E-04,2.58E-23,1.00E-07,0.00E+00,8.56E-15,0.00E+00,0.00E+00,4.19E-16,3.41E-09,6.40E-10
0.48279,4.054,0.14,3.24E-04,2.51E-23,9.90E-08,0.00E+00,8.26E-15,0.00E+00,0.00E+00,4.04E-16,3.35E-09,6.27E-10
0.4832,4.05,0.138,3.23E-04,2.44E-23,9.77E-08,0.00E+00,7.97E-15,0.00E+00,0.00E+00,3.90E-16,3.29E-09,6.14E-10
0.48361,4.046,0.136,3.22E-04,2.37E-23,9.64E-08,0.00E+00,7.69E-15,0.00E+00,0.00E+00,3.77E-16,3.23E-09,6.01E-10
0.48402,4.042,0.134,3.21E-04,2.30E-23,9.51E-08,0.00E+00,7.41E-15,0.00E+00,0.00E+00,3.63E-16,3.18E-09,5.89E-10
0.48443,4.038,0.132,3.20E-04,2.22E-23,9.38E-08,0.00E+00,7.15E-15,0.00E+00,0.00E+00,3.51E-16,3.12E-09,5.76E-10
0.48484,4.034,0.13,3.19E-04,2.15E-23,9.26E-08,0.00E+00,6.90E-15,0.00E+00,0.00E+00,3.38E-16,3.07E-09,5.64E-10
0.48525,4.03,0.128,3.18E-04,2.08E-23,9.13E-08,0.00E+00,6.65E-15,0.00E+00,0.00E+00,3.26E-16,3.01E-09,5.52E-10
0.48566,4.026,0.127,3.18E-04,2.02E-23,9.01E-08,0.00E+00,6.42E-15,0.00E+00,0.00E+00,3.15E-16,2.96E-09,5.41E-10
0.48607,4.022,0.125,3.17E-04,1.97E-23,8.89E-08,0.00E+00,6.20E-15,0.00E+00,0.00E+00,3.04E-16,2.91E-09,5.30E-10
0.48648,4.017,0.123,3.16E-04,1.91E-23,8.77E-08,0.00E+00,5.98E-15,0.00E+00,0.00E+00,2.94E-16,2.86E-09,5.19E-10
0.48689,4.013,0.121,3.15E-04,1.86E-23,8.65E-08,0.00E+00,5.77E-15,0.00E+00,0.00E+00,2.83E-16,2.81E-09,5.08E-10
0.4873,4.009,0.119,3.14E-04,1.81E-23,8.53E-08,0.00E+00,5.57E-15,0.00E+00,0.00E+00,2.74E-16,2.76E-09,4.98E-10
0.4877,4.005,0.117,3.13E-04,1.75E-23,8.42E-08,0.00E+00,5.37E-15,0.00E+00,0.00E+00,2.64E-16,2.72E-09,4.87E-10
0.48811,4.001,0.115,3.13E-04,1.70E-23,8.31E-08,0.00E+00,5.18E-15,0.00E+00,0.00E+00,2.55E-16,2.67E-09,4.77E-10
0.48852,3.997,0.113,3.12E-04,1.65E-23,8.19E-08,0.00E+00,5.00E-15,0.00E+00,0.00E+00,2.46E-16,2.62E-09,4.67E-10
0.48893,3.993,0.112,3.11E-04,1.61E-23,8.09E-08,0.00E+00,4.83E-15,0.00E+00,0.00E+00,2.38E-16,2.58E-09,4.58E-10
0.48934,3.989,0.11,3.10E-04,1.57E-23,7.98E-08,0.00E+00,4.66E-15,0.00E+00,0.00E+00,2.29E-16,2.53E-09,4.48E-10
0.48975,3.985,0.108,3.09E-04,1.52E-23,7.87E-08,0.00E+00,4.49E-15,0.00E+00,0.00E+00,2.21E-16,2.49E-09,4.39E-10
0.49016,3.981,0.106,3.09E-04,1.48E-23,7.77E-08,0.00E+00,4.34E-15,0.00E+00,0.00E+00,2.14E-16,2.45E-09,4.30E-10
0.49057,3.977,0.104,3.08E-04,1.44E-23,7.66E-08,0.00E+00,4.18E-15,0.00E+00,0.00E+00,2.06E-16,2.41E-09,4.21E-10
0.49098,3.973,0.102,3.07E-04,1.39E-23,7.56E-08,0.00E+00,4.04E-15,0.00E+00,0.00E+00,1.99E-16,2.36E-09,4.12E-10
0.49139,3.969,0.1,3.06E-04,1.35E-23,7.46E-08,0.00E+00,3.89E-15,0.00E+00,0.00E+00,1.92E-16,2.32E-09,4.04E-10
0.4918,3.965,0.099,3.05E-04,1.31E-23,7.36E-08,0.00E+00,3.76E-15,0.00E+00,0.00E+00,1.86E-16,2.28E-09,3.95E-10
0.49221,3.961,0.097,3.05E-04,1.28E-23,7.26E-08,0.00E+00,3.63E-15,0.00E+00,0.00E+00,1.79E-16,2.24E-09,3.87E-10
0.49262,3.957,0.095,3.04E-04,1.24E-23,7.16E-08,0.00E+00,3.50E-15,0.00E+00,0.00E+00,1.73E-16,2.21E-09,3.79E-10
0.49303,3.953,0.093,3.03E-04,1.21E-23,7.06E-08,0.00E+00,3.38E-15,0.00E+00,0.00E+00,1.67E-16,2.17E-09,3.72E-10
0.49344,3.949,0.091,3.02E-04,1.17E-23,6.97E-08,0.00E+00,3.26E-15,0.00E+00,0.00E+00,1.61E-16,2.13E-09,3.64E-10
0.49385,3.945,0.089,3.01E-04,1.14E-23,6.88E-08,0.00E+00,3.14E-15,0.00E+00,0.00E+00,1.56E-16,2.09E-09,3.57E-10
0.49426,3.94,0.087,3.01E-04,1.11E-23,6.78E-08,0.00E+00,3.03E-15,0.00E+00,0.00E+00,1.50E-16,2.06E-09,3.49E-10
0.49467,3.936,0.086,3.00E-04,1.07E-23,6.69E-08,0.00E+00,2.92E-15,0.00E+00,0.00E+00,1.45E-16,2.02E-09,3.42E-10
0.49508,3.933,0.084,2.99E-04,1.05E-23,6.60E-08,0.00E+00,2.82E-15,0.00E+00,0.00E+00,1.40E-16,1.99E-09,3.35E-10
0.49549,3.929,0.082,2.98E-04,1.02E-23,6.51E-08,0.00E+00,2.73E-15,0.00E+00,0.00E+00,1.36E-16,1.95E-09,3.28E-10
0.4959,3.925,0.08,2.97E-04,9.97E-24,6.43E-08,0.00E+00,2.64E-15,0.00E+00,0.00E+00,1.31E-16,1.92E-09,3.22E-10
0.49631,3.921,0.078,2.97E-04,9.73E-24,6.34E-08,0.00E+00,2.55E-15,0.00E+00,0.00E+00,1.27E-16,1.89E-09,3.15E-10
0.49672,3.917,0.076,2.96E-04,9.49E-24,6.26E-08,0.00E+00,2.46E-15,0.00E+00,0.00E+00,1.22E-16,1.86E-09,3.09E-10
0.49713,3.913,0.074,2.95E-04,9.25E-24,6.17E-08,0.00E+00,2.38E-15,0.00E+00,0.00E+00,1.18E-16,1.82E-09,3.02E-10
0.49754,3.909,0.073,2.94E-04,9.01E-24,6.09E-08,0.00E+00,2.29E-15,0.00E+00,0.00E+00,1.14E-16,1.79E-09,2.96E-10
0.49795,3.905,0.071,2.94E-04,8.77E-24,6.01E-08,0.00E+00,2.21E-15,0.00E+00,0.00E+00,1.10E-16,1.76E-09,2.90E-10
0.49836,3.901,0.069,2.93E-04,8.52E-24,5.93E-08,0.00E+00,2.14E-15,0.00E+00,0.00E+00,1.07E-16,1.73E-09,2.84E-10
0.49877,3.897,0.067,2.92E-04,8.28E-24,5.85E-08,0.00E+00,2.06E-15,0.00E+00,0.00E+00,1.03E-16,1.70E-09,2.79E-10
0.49918,3.893,0.065,2.91E-04,8.04E-24,5.77E-08,0.00E+00,1.99E-15,0.00E+00,0.00E+00,9.92E-17,1.67E-09,2.73E-10
0.49959,3.889,0.063,2.91E-04,7.80E-24,5.69E-08,0.00E+00,1.92E-15,0.00E+00,0.00E+00,9.58E-17,1.64E-09,2.67E-10
