m,r,T,rho,P,l,X,Y,He3,C12,N14,O16,n_e,7Be,nu pp,nu B8,nu N13,nu O15,nu F17,nu Be7,nu pep,nu hep
4.00E-07,0.00161,15500000,151,2.34E+17,1.00E-05,0.36462,0.62029,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,2.84E-06,3.46E-05,2.06E-05,2.85E-05,3.16E-05,1.39E-05,4.42E-06,1.22E-06
5.00E-07,0.00172,15500000,151,2.34E+17,1.00E-05,0.36462,0.62028,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,3.19E-06,3.89E-05,2.31E-05,3.21E-05,3.55E-05,1.57E-05,4.98E-06,1.37E-06
6.00E-07,0.00182,15500000,151,2.34E+17,1.00E-05,0.36463,0.62027,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,3.54E-06,4.31E-05,2.57E-05,3.56E-05,3.94E-05,1.74E-05,5.52E-06,1.52E-06
7.00E-07,0.00191,15500000,151,2.34E+17,1.00E-05,0.36464,0.62026,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,3.85E-06,4.70E-05,2.79E-05,3.88E-05,4.29E-05,1.89E-05,6.02E-06,1.65E-06
9.00E-07,0.002,15500000,150,2.34E+17,1.00E-05,0.36464,0.62025,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,4.17E-06,5.08E-05,3.02E-05,4.19E-05,4.64E-05,2.04E-05,6.51E-06,1.79E-06
1.00E-06,0.00208,15500000,150,2.34E+17,1.00E-05,0.36465,0.62025,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,4.47E-06,5.44E-05,3.24E-05,4.50E-05,4.97E-05,2.19E-05,6.98E-06,1.91E-06
1.10E-06,0.00215,15500000,150,2.34E+17,1.00E-05,0.36466,0.62024,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,4.76E-06,5.80E-05,3.45E-05,4.79E-05,5.30E-05,2.33E-05,7.43E-06,2.04E-06
1.20E-06,0.00222,15500000,150,2.34E+17,1.00E-05,0.36466,0.62023,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,5.05E-06,6.15E-05,3.67E-05,5.09E-05,5.62E-05,2.48E-05,7.89E-06,2.16E-06
1.30E-06,0.00228,15500000,150,2.34E+17,1.00E-05,0.36467,0.62022,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,5.30E-06,6.46E-05,3.85E-05,5.34E-05,5.90E-05,2.60E-05,8.28E-06,2.27E-06
1.40E-06,0.00235,15500000,150,2.34E+17,1.00E-05,0.36468,0.62021,8.90E-06,7.79E-06,0.00373,0.00606,2.011,1.58E-11,5.59E-06,6.81E-05,4.06E-05,5.64E-05,6.23E-05,2.74E-05,8.73E-06,2.39E-06
1.50E-06,0.00241,15500000,150,2.34E+17,1.00E-05,0.36468,0.6202,8.90E-06,7.80E-06,0.00373,0.00606,2.011,1.58E-11,5.84E-06,7.12E-05,4.25E-05,5.89E-05,6.51E-05,2.87E-05,9.12E-06,2.50E-06
1.60E-06,0.00246,15500000,150,2.34E+17,1.00E-05,0.36469,0.6202,8.90E-06,7.80E-06,0.00373,0.00606,2.011,1.58E-11,6.05E-06,7.37E-05,4.40E-05,6.10E-05,6.74E-05,2.97E-05,9.45E-06,2.59E-06
1.70E-06,0.00252,15500000,150,2.34E+17,1.00E-05,0.3647,0.62019,8.90E-06,7.80E-06,0.00373,0.00607,2.011,1.58E-11,6.34E-06,7.72E-05,4.61E-05,6.39E-05,7.06E-05,3.11E-05,9.91E-06,2.72E-06
1.80E-06,0.00257,15500000,150,2.34E+17,2.00E-05,0.3647,0.62018,8.90E-06,7.80E-06,0.00373,0.00607,2.011,1.58E-11,6.59E-06,8.02E-05,4.79E-05,6.64E-05,7.34E-05,3.23E-05,1.03E-05,2.82E-06
1.90E-06,0.00262,15500000,150,2.34E+17,2.00E-05,0.36471,0.62017,8.90E-06,7.80E-06,0.00373,0.00607,2.011,1.58E-11,6.83E-06,8.31E-05,4.97E-05,6.88E-05,7.61E-05,3.35E-05,1.07E-05,2.93E-06
2.00E-06,0.00267,15500000,150,2.34E+17,2.00E-05,0.36472,0.62017,8.90E-06,7.80E-06,0.00373,0.00607,2.011,1.58E-11,7.07E-06,8.61E-05,5.14E-05,7.13E-05,7.88E-05,3.47E-05,1.11E-05,3.03E-06
2.10E-06,0.00271,15500000,150,2.34E+17,2.00E-05,0.36472,0.62016,8.91E-06,7.80E-06,0.00373,0.00607,2.011,1.58E-11,7.27E-06,8.85E-05,5.28E-05,7.33E-05,8.09E-05,3.57E-05,1.14E-05,3.11E-06
2.30E-06,0.00276,15500000,150,2.34E+17,2.00E-05,0.36473,0.62015,8.91E-06,7.80E-06,0.00373,0.00607,2.011,1.58E-11,7.51E-06,9.14E-05,5.46E-05,7.57E-05,8.36E-05,3.69E-05,1.18E-05,3.22E-06
2.40E-06,0.0028,15500000,150,2.34E+17,2.00E-05,0.36474,0.62015,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,7.71E-06,9.38E-05,5.60E-05,7.77E-05,8.58E-05,3.78E-05,1.21E-05,3.30E-06
2.50E-06,0.00285,15500000,150,2.34E+17,2.00E-05,0.36474,0.62014,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,7.95E-06,9.67E-05,5.78E-05,8.01E-05,8.85E-05,3.90E-05,1.24E-05,3.41E-06
2.60E-06,0.00289,15500000,150,2.34E+17,2.00E-05,0.36475,0.62013,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,8.16E-06,9.93E-05,5.93E-05,8.22E-05,9.08E-05,4.00E-05,1.28E-05,3.50E-06
2.70E-06,0.00293,15500000,150,2.34E+17,2.00E-05,0.36476,0.62012,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,8.38E-06,0.000102012,6.09E-05,8.45E-05,9.33E-05,4.11E-05,1.31E-05,3.59E-06
2.80E-06,0.00297,15500000,150,2.34E+17,2.00E-05,0.36476,0.62012,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,8.60E-06,0.000104754,6.25E-05,8.67E-05,9.58E-05,4.22E-05,1.35E-05,3.69E-06
2.90E-06,0.00301,15500000,150,2.34E+17,2.00E-05,0.36477,0.62011,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,8.82E-06,0.000107495,6.41E-05,8.89E-05,9.83E-05,4.33E-05,1.38E-05,3.78E-06
3.00E-06,0.00305,15500000,150,2.34E+17,3.00E-05,0.36477,0.62011,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,9.04E-06,0.000110237,6.57E-05,9.12E-05,0.000100751,4.44E-05,1.41E-05,3.88E-06
3.10E-06,0.00309,15500000,150,2.34E+17,3.00E-05,0.36478,0.6201,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,9.26E-06,0.000112978,6.74E-05,9.34E-05,0.000103229,4.55E-05,1.45E-05,3.98E-06
3.30E-06,0.00313,15500000,150,2.34E+17,3.00E-05,0.36479,0.62009,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,9.48E-06,0.00011572,6.90E-05,9.56E-05,0.000105707,4.66E-05,1.48E-05,4.07E-06
3.40E-06,0.00317,15500000,150,2.34E+17,3.00E-05,0.36479,0.62008,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,9.70E-06,0.000118461,7.06E-05,9.79E-05,0.000108185,4.77E-05,1.52E-05,4.17E-06
3.50E-06,0.0032,15500000,150,2.34E+17,3.00E-05,0.3648,0.62008,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,9.86E-06,0.000120517,7.18E-05,9.95E-05,0.000110044,4.85E-05,1.54E-05,4.24E-06
3.60E-06,0.00324,15500000,150,2.34E+17,3.00E-05,0.36481,0.62007,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.01E-05,0.000123259,7.34E-05,0.000101766,0.000112522,4.96E-05,1.58E-05,4.33E-06
3.80E-06,0.00328,15500000,150,2.34E+17,3.00E-05,0.36481,0.62006,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.03E-05,0.000126,7.50E-05,0.000104,0.000115,5.07E-05,1.61E-05,4.43E-06
3.90E-06,0.00331,15500000,150,2.34E+17,3.00E-05,0.36482,0.62006,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.05E-05,0.000128268,7.64E-05,0.000105902,0.000117049,5.16E-05,1.64E-05,4.51E-06
4.00E-06,0.00333,15500000,150,2.34E+17,3.00E-05,0.36482,0.62005,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.06E-05,0.00012978,7.73E-05,0.000107171,0.000118415,5.22E-05,1.66E-05,4.56E-06
4.10E-06,0.00337,15500000,150,2.34E+17,3.00E-05,0.36483,0.62005,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.09E-05,0.000132805,7.91E-05,0.000109707,0.000121146,5.35E-05,1.70E-05,4.67E-06
4.20E-06,0.00341,15500000,150,2.34E+17,4.00E-05,0.36484,0.62004,8.91E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.11E-05,0.000135829,8.09E-05,0.000112244,0.000123878,5.47E-05,1.74E-05,4.78E-06
4.40E-06,0.00344,15500000,150,2.34E+17,4.00E-05,0.36484,0.62003,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.13E-05,0.000138098,8.22E-05,0.000114146,0.000125927,5.56E-05,1.77E-05,4.86E-06
4.50E-06,0.00347,15500000,150,2.34E+17,4.00E-05,0.36485,0.62003,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.15E-05,0.000140366,8.36E-05,0.000116049,0.000127976,5.65E-05,1.80E-05,4.94E-06
4.60E-06,0.0035,15500000,150,2.34E+17,4.00E-05,0.36485,0.62002,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.17E-05,0.000142634,8.49E-05,0.000117951,0.000130024,5.75E-05,1.83E-05,5.02E-06
4.70E-06,0.00353,15500000,150,2.34E+17,4.00E-05,0.36486,0.62002,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.19E-05,0.000144902,8.63E-05,0.000119854,0.000132073,5.84E-05,1.86E-05,5.10E-06
4.80E-06,0.00356,15500000,150,2.34E+17,4.00E-05,0.36487,0.62001,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.21E-05,0.000147171,8.76E-05,0.000121756,0.000134122,5.93E-05,1.89E-05,5.18E-06
5.00E-06,0.00359,15500000,150,2.34E+17,4.00E-05,0.36487,0.62,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.23E-05,0.000149439,8.90E-05,0.000123659,0.000136171,6.02E-05,1.92E-05,5.26E-06
5.10E-06,0.00363,15500000,150,2.34E+17,4.00E-05,0.36488,0.62,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.25E-05,0.000152463,9.08E-05,0.000126195,0.000138902,6.15E-05,1.96E-05,5.37E-06
5.20E-06,0.00366,15500000,150,2.34E+17,4.00E-05,0.36489,0.61999,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.27E-05,0.000154732,9.21E-05,0.000128098,0.000140951,6.24E-05,1.99E-05,5.45E-06
5.40E-06,0.00369,15500000,150,2.34E+17,5.00E-05,0.36489,0.61998,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.29E-05,0.000157,9.35E-05,0.00013,0.000143,6.33E-05,2.02E-05,5.53E-06
5.50E-06,0.00373,15500000,150,2.34E+17,5.00E-05,0.3649,0.61997,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.32E-05,0.000160317,9.55E-05,0.000132732,0.000146122,6.47E-05,2.06E-05,5.65E-06
5.60E-06,0.00375,15500000,150,2.34E+17,5.00E-05,0.36491,0.61997,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.33E-05,0.000161976,9.65E-05,0.000134098,0.000147683,6.53E-05,2.08E-05,5.71E-06
5.70E-06,0.00378,15500000,150,2.34E+17,5.00E-05,0.36491,0.61996,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.35E-05,0.000164463,9.80E-05,0.000136146,0.000150024,6.64E-05,2.12E-05,5.80E-06
5.90E-06,0.0038,15500000,150,2.34E+17,5.00E-05,0.36492,0.61996,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.37E-05,0.000166122,9.90E-05,0.000137512,0.000151585,6.71E-05,2.14E-05,5.86E-06
6.00E-06,0.00382,15500000,150,2.34E+17,5.00E-05,0.36492,0.61995,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.38E-05,0.00016778,1.00E-04,0.000138878,0.000153146,6.77E-05,2.16E-05,5.92E-06
6.10E-06,0.00385,15500000,150,2.34E+17,5.00E-05,0.36493,0.61995,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.40E-05,0.000170268,0.0001015,0.000140927,0.000155488,6.88E-05,2.19E-05,6.01E-06
6.20E-06,0.00387,15500000,150,2.34E+17,5.00E-05,0.36493,0.61994,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.42E-05,0.000171927,0.0001025,0.000142293,0.000157049,6.94E-05,2.21E-05,6.07E-06
6.30E-06,0.00389,15500000,150,2.34E+17,5.00E-05,0.36494,0.61994,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.58E-11,1.43E-05,0.000173585,0.0001035,0.000143659,0.00015861,7.01E-05,2.23E-05,6.13E-06
6.40E-06,0.00392,15500000,150,2.34E+17,5.00E-05,0.36494,0.61993,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.45E-05,0.000176073,0.000105,0.000145707,0.000160951,7.12E-05,2.27E-05,6.22E-06
6.50E-06,0.00394,15500000,150,2.34E+17,5.00E-05,0.36495,0.61993,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.47E-05,0.000177732,0.000106,0.000147073,0.000162512,7.18E-05,2.29E-05,6.28E-06
6.70E-06,0.00397,15500000,150,2.34E+17,6.00E-05,0.36495,0.61992,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.49E-05,0.00018022,0.0001075,0.000149122,0.000164854,7.29E-05,2.32E-05,6.37E-06
6.80E-06,0.00399,15500000,150,2.34E+17,6.00E-05,0.36496,0.61992,8.92E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.50E-05,0.000181878,0.0001085,0.000150488,0.000166415,7.35E-05,2.34E-05,6.43E-06
6.90E-06,0.00402,15500000,150,2.34E+17,6.00E-05,0.36496,0.61991,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.52E-05,0.000184366,0.00011,0.000152537,0.000168756,7.46E-05,2.37E-05,6.52E-06
7.00E-06,0.00404,15500000,150,2.34E+17,6.00E-05,0.36497,0.61991,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.54E-05,0.000186024,0.000111,0.000153902,0.000170317,7.53E-05,2.40E-05,6.58E-06
7.20E-06,0.00407,15500000,150,2.34E+17,6.00E-05,0.36497,0.6199,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.56E-05,0.000188512,0.0001125,0.000155951,0.000172659,7.63E-05,2.43E-05,6.67E-06
7.30E-06,0.00409,15500000,150,2.34E+17,6.00E-05,0.36498,0.61989,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.57E-05,0.000190171,0.0001135,0.000157317,0.00017422,7.70E-05,2.45E-05,6.73E-06
7.40E-06,0.00412,15500000,150,2.34E+17,6.00E-05,0.36499,0.61989,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.60E-05,0.000192854,0.000115122,0.000159561,0.000176659,7.80E-05,2.48E-05,6.83E-06
7.60E-06,0.00414,15500000,150,2.34E+17,6.00E-05,0.36499,0.61988,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.61E-05,0.000194707,0.000116244,0.000161122,0.000178317,7.88E-05,2.51E-05,6.89E-06
7.70E-06,0.00417,15500000,150,2.34E+17,6.00E-05,0.365,0.61988,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.63E-05,0.000197488,0.000117927,0.000163463,0.000180805,7.99E-05,2.54E-05,6.99E-06
7.90E-06,0.00419,15500000,150,2.34E+17,7.00E-05,0.365,0.61987,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.65E-05,0.000199341,0.000119049,0.000165024,0.000182463,8.07E-05,2.57E-05,7.05E-06
8.00E-06,0.00422,15500000,150,2.34E+17,7.00E-05,0.36501,0.61986,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.67E-05,0.000202122,0.000120732,0.000167366,0.000184951,8.18E-05,2.60E-05,7.15E-06
8.20E-06,0.00425,15500000,150,2.34E+17,7.00E-05,0.36502,0.61986,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.69E-05,0.000204902,0.000122415,0.000169707,0.000187439,8.29E-05,2.64E-05,7.25E-06
8.30E-06,0.00427,15500000,150,2.34E+17,7.00E-05,0.36502,0.61985,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.71E-05,0.000206756,0.000123537,0.000171268,0.000189098,8.36E-05,2.66E-05,7.32E-06
8.50E-06,0.0043,15500000,150,2.34E+17,7.00E-05,0.36503,0.61984,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.73E-05,0.000209537,0.00012522,0.00017361,0.000191585,8.48E-05,2.70E-05,7.41E-06
8.60E-06,0.00433,15500000,150,2.34E+17,7.00E-05,0.36504,0.61984,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.75E-05,0.000212317,0.000126902,0.000175951,0.000194073,8.59E-05,2.73E-05,7.51E-06
8.80E-06,0.00435,15500000,150,2.34E+17,7.00E-05,0.36504,0.61983,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.77E-05,0.000214171,0.000128024,0.000177512,0.000195732,8.66E-05,2.76E-05,7.58E-06
9.00E-06,0.00438,15500000,150,2.34E+17,8.00E-05,0.36505,0.61982,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.79E-05,0.000216951,0.000129707,0.000179854,0.00019822,8.77E-05,2.79E-05,7.68E-06
9.10E-06,0.00441,15500000,150,2.34E+17,8.00E-05,0.36506,0.61982,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.81E-05,0.000219732,0.00013139,0.000182195,0.000200707,8.89E-05,2.83E-05,7.77E-06
9.30E-06,0.00443,15500000,150,2.34E+17,8.00E-05,0.36506,0.61981,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.83E-05,0.000221585,0.000132512,0.000183756,0.000202366,8.96E-05,2.85E-05,7.84E-06
9.50E-06,0.00446,15500000,150,2.34E+17,8.00E-05,0.36507,0.6198,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.85E-05,0.000224366,0.000134195,0.000186098,0.000204854,9.07E-05,2.89E-05,7.94E-06
9.70E-06,0.00449,15500000,150,2.34E+17,8.00E-05,0.36508,0.6198,8.93E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.87E-05,0.000227146,0.000135878,0.000188439,0.000207341,9.19E-05,2.93E-05,8.03E-06
9.90E-06,0.00452,15500000,150,2.34E+17,8.00E-05,0.36508,0.61979,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.90E-05,0.00023,0.000137585,0.000190829,0.000209927,9.30E-05,2.96E-05,8.14E-06
1.00E-05,0.00455,15500000,150,2.34E+17,8.00E-05,0.36509,0.61978,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.92E-05,0.000233,0.000139341,0.000193317,0.000212707,9.42E-05,3.00E-05,8.24E-06
1.02E-05,0.00457,15500000,150,2.34E+17,9.00E-05,0.3651,0.61977,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.94E-05,0.000235,0.000140512,0.000194976,0.000214561,9.50E-05,3.03E-05,8.32E-06
1.04E-05,0.0046,15500000,150,2.34E+17,9.00E-05,0.36511,0.61977,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.96E-05,0.000238,0.000142268,0.000197463,0.000217341,9.62E-05,3.07E-05,8.42E-06
1.06E-05,0.00463,15500000,150,2.34E+17,9.00E-05,0.36511,0.61976,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,1.99E-05,0.000241,0.000144024,0.000199951,0.000220122,9.74E-05,3.11E-05,8.53E-06
1.08E-05,0.00466,15500000,150,2.34E+17,9.00E-05,0.36512,0.61975,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.01E-05,0.000244,0.00014578,0.000202439,0.000222902,9.86E-05,3.14E-05,8.64E-06
1.10E-05,0.00469,15500000,150,2.34E+17,9.00E-05,0.36513,0.61974,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.04E-05,0.000247,0.000147537,0.000204927,0.000225683,9.98E-05,3.18E-05,8.75E-06
1.11E-05,0.0047,15500000,150,2.34E+17,9.00E-05,0.36513,0.61974,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.05E-05,0.000248,0.000148122,0.000205756,0.00022661,0.0001002,3.20E-05,8.78E-06
1.12E-05,0.00472,15500000,150,2.34E+17,9.00E-05,0.36514,0.61974,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.06E-05,0.00025,0.000149293,0.000207415,0.000228463,0.000101,3.22E-05,8.85E-06
1.13E-05,0.00473,15500000,150,2.34E+17,9.00E-05,0.36514,0.61973,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.07E-05,0.000251,0.000149878,0.000208244,0.00022939,0.0001014,3.23E-05,8.89E-06
1.14E-05,0.00475,15500000,150,2.34E+17,0.0001,0.36515,0.61973,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.09E-05,0.000253,0.000151049,0.000209902,0.000231244,0.0001022,3.26E-05,8.96E-06
1.15E-05,0.00476,15500000,150,2.34E+17,0.0001,0.36515,0.61972,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.10E-05,0.000254,0.000151634,0.000210732,0.000232171,0.0001026,3.27E-05,9.00E-06
1.16E-05,0.00478,15500000,150,2.34E+17,0.0001,0.36515,0.61972,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.11E-05,0.000256,0.000152805,0.00021239,0.000234024,0.0001034,3.30E-05,9.07E-06
1.17E-05,0.00479,15500000,150,2.34E+17,0.0001,0.36516,0.61972,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.12E-05,0.000257,0.00015339,0.00021322,0.000234951,0.0001038,3.31E-05,9.10E-06
1.19E-05,0.00481,15500000,150,2.34E+17,0.0001,0.36516,0.61971,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.14E-05,0.000259,0.000154561,0.000214878,0.000236805,0.0001046,3.34E-05,9.18E-06
1.20E-05,0.00482,15500000,150,2.34E+17,0.0001,0.36517,0.61971,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.15E-05,0.00026,0.000155146,0.000215707,0.000237732,0.000105,3.35E-05,9.21E-06
1.21E-05,0.00484,15500000,150,2.34E+17,0.0001,0.36517,0.6197,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.16E-05,0.000262,0.000156317,0.000217366,0.000239585,0.0001058,3.38E-05,9.28E-06
1.22E-05,0.00485,15500000,150,2.34E+17,0.0001,0.36517,0.6197,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.17E-05,0.000263,0.000156902,0.000218195,0.000240512,0.0001062,3.39E-05,9.32E-06
1.23E-05,0.00487,15500000,150,2.34E+17,0.0001,0.36518,0.61969,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.19E-05,0.000265,0.000158073,0.000219854,0.000242366,0.000107,3.42E-05,9.39E-06
1.24E-05,0.00488,15500000,150,2.34E+17,0.0001,0.36518,0.61969,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.20E-05,0.000266,0.000158659,0.000220683,0.000243293,0.0001074,3.43E-05,9.43E-06
1.25E-05,0.0049,15500000,150,2.34E+17,0.00011,0.36519,0.61969,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.21E-05,0.000268,0.000159829,0.000222341,0.000245146,0.0001082,3.45E-05,9.50E-06
1.26E-05,0.00491,15500000,150,2.34E+17,0.00011,0.36519,0.61968,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.22E-05,0.000269,0.000160415,0.000223171,0.000246073,0.0001086,3.47E-05,9.53E-06
1.28E-05,0.00493,15500000,150,2.34E+17,0.00011,0.36519,0.61968,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.24E-05,0.000271073,0.000161659,0.000224878,0.000247976,0.000109439,3.49E-05,9.61E-06
1.29E-05,0.00494,15500000,150,2.34E+17,0.00011,0.3652,0.61967,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.25E-05,0.000272146,0.000162317,0.000225756,0.000248951,0.000109878,3.51E-05,9.65E-06
1.30E-05,0.00496,15500000,150,2.34E+17,0.00011,0.3652,0.61967,8.94E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.27E-05,0.000274293,0.000163634,0.000227512,0.000250902,0.000110756,3.54E-05,9.73E-06
1.31E-05,0.00497,15500000,150,2.34E+17,0.00011,0.36521,0.61966,8.95E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.28E-05,0.000275366,0.000164293,0.00022839,0.000251878,0.000111195,3.55E-05,9.77E-06
1.32E-05,0.00499,15500000,150,2.34E+17,0.00011,0.36521,0.61966,8.95E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.29E-05,0.000277512,0.00016561,0.000230146,0.000253829,0.000112073,3.58E-05,9.85E-06
1.34E-05,0.005,15500000,150,2.34E+17,0.00011,0.36522,0.61966,8.95E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.30E-05,0.000278585,0.000166268,0.000231024,0.000254805,0.000112512,3.59E-05,9.89E-06
1.35E-05,0.00502,15500000,150,2.34E+17,0.00011,0.36522,0.61965,8.95E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.32E-05,0.000280732,0.000167585,0.00023278,0.000256756,0.00011339,3.62E-05,9.97E-06
1.36E-05,0.00503,15500000,150,2.34E+17,0.00011,0.36522,0.61965,8.95E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.33E-05,0.000281805,0.000168244,0.000233659,0.000257732,0.000113829,3.64E-05,1.00E-05
1.37E-05,0.00505,15500000,150,2.34E+17,0.00012,0.36523,0.61964,8.95E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.35E-05,0.000283951,0.000169561,0.000235415,0.000259683,0.000114707,3.66E-05,1.01E-05
1.39E-05,0.00507,15500000,150,2.34E+17,0.00012,0.36523,0.61964,8.95E-06,7.80E-06,0.00374,0.00607,2.011,1.57E-11,2.37E-05,0.000286098,0.000170878,0.000237171,0.000261634,0.000115585,3.69E-05,1.02E-05
