Radius,Reaction Rate
0.00161,5.6908453266018584e+16
0.0025924524524524,1.4740398761394717e+17
0.0035749049049049,2.80058563640344e+17
0.0045573573573573,4.548246879848112e+17
0.0055398098098098,6.716880488157457e+17
0.0065222622622622,9.306642014794089e+17
0.0075047147147147,1.2317955156226982e+18
0.0084871671671671,1.5751483546087567e+18
0.0094696196196196,1.960810459629441e+18
0.010452072072072,2.3888885122841047e+18
0.0114345245245245,2.859505850556578e+18
0.0124169769769769,3.372800019743125e+18
0.0133994294294294,3.92891279522287e+18
0.0143818818818818,4.527982080223752e+18
0.0153643343343343,5.170142909718553e+18
0.0163467867867867,5.855524319381727e+18
0.0173292392392392,6.584246079015131e+18
0.0183116916916916,7.356415550765983e+18
0.0192941441441441,8.172124669789042e+18
0.0202765965965965,9.031447045641295e+18
0.021259049049049,9.93443518317936e+18
0.0222415015015015,1.0881117822165481e+19
0.0232239539539539,1.1871497395068248e+19
0.0242064064064064,1.290554760281727e+19
0.0251888588588588,1.398321110841394e+19
0.0261713113113113,1.5104397348394195e+19
0.0271537637637637,1.6268980462169778e+19
0.0281362162162162,1.747679733923982e+19
0.0291186686686686,1.872764578418366e+19
0.0301011211211211,2.002128279922655e+19
0.0310835735735735,2.1357422983984132e+19
0.032066026026026,2.273573705179678e+19
0.0330484784784784,2.415585046183692e+19
0.0340309309309309,2.5617342165906776e+19
0.0350133833833833,2.7119743468576113e+19
0.0359958358358358,2.8662536999007527e+19
0.0369782882882882,3.024515579253802e+19
0.0379607407407407,3.1866982479773032e+19
0.0389431931931931,3.3527348580658377e+19
0.0399256456456456,3.5225533900697866e+19
0.040908098098098,3.6960766026194166e+19
0.0418905505505505,3.873221970242982e+19
0.042873003003003,4.0539013130532225e+19
0.0438554554554554,4.23802078788242e+19
0.0448379079079079,4.4254811490080195e+19
0.0458203603603603,4.616177786733228e+19
0.0468028128128128,4.810000774293911e+19
0.0477852652652652,5.006834930700103e+19
0.0487677177177177,5.206559899397015e+19
0.0497501701701701,5.409050242572841e+19
0.0507326226226226,5.614175550880091e+19
0.051715075075075,5.821800568299043e+19
0.0526975275275275,6.031785331799745e+19
0.0536799799799799,6.243985325419662e+19
0.0546624324324324,6.45825164832037e+19
0.0556448848848848,6.674431196337163e+19
0.0566273373373373,6.892366856482151e+19
0.0576097897897897,7.111897713824738e+19
0.0585922422422422,7.332859270126257e+19
0.0595746946946946,7.555083673566097e+19
0.0605571471471471,7.778399958851584e+19
0.0615395995995996,8.002634296979646e+19
0.062522052052052,8.227610253883513e+19
0.0635045045045045,8.453149057159825e+19
0.0644869569569569,8.679069870058596e+19
0.0654694094094094,8.905190071892877e+19
0.0664518618618618,9.131325543996077e+19
0.0674343143143143,9.357290960363325e+19
0.0684167667667667,9.582900081701863e+19
0.0693992192192192,9.807965996780125e+19
0.0703816716716716,1.0032301356802613e+20
0.0713641241241241,1.0255718770779387e+20
0.0723465765765765,1.0478031120312123e+20
0.073329029029029,1.0699051860129399e+20
0.0743114814814814,1.0918595317094985e+20
0.0752939339339339,1.1136476986839183e+20
0.0762763863863863,1.1352513827146011e+20
0.0772588388388388,1.1566524547293089e+20
0.0782412912912912,1.177832989252038e+20
0.0792237437437437,1.1987752922865023e+20
0.0802061961961961,1.2194619285612056e+20
0.0811886486486486,1.239875748064989e+20
0.0821711011011011,1.2599999118041078e+20
0.0831535535535535,1.2798179167183421e+20
0.084136006006006,1.2993136196939435e+20
0.0851184584584584,1.3184712606175715e+20
0.0861009109109109,1.3372754844199813e+20
0.0870833633633633,1.3557113620598206e+20
0.0880658158158158,1.3737644104051098e+20
0.0890482682682682,1.3914206109736863e+20
0.0900307207207207,1.4086664274962227e+20
0.0910131731731731,1.425488822274663e+20
0.0919956256256256,1.4418752713086294e+20
0.092978078078078,1.4578137781698454e+20
0.0939605305305305,1.4732928866084898e+20
0.0949429829829829,1.488301703873445e+20
0.0959254354354354,1.5028307057229215e+20
0.0969078878878878,1.5168722616613483e+20
0.0978903403403403,1.5304194755595695e+20
0.0988727927927927,1.5434660675730113e+20
0.0998552452452452,1.5560063715505016e+20
0.1008376976976977,1.568035331262474e+20
0.1018201501501501,1.5795484954896872e+20
0.1028026026026026,1.5905420120158713e+20
0.103785055055055,1.60101262056907e+20
0.1047675075075075,1.6109576447596134e+20
0.1057499599599599,1.6203749830616646e+20
0.1067324124124124,1.6292630988913403e+20
0.1077148648648648,1.637621009828429e+20
0.1086973173173173,1.6454482760376215e+20
0.1096797697697697,1.6527449879393567e+20
0.1106622222222222,1.6595117531843985e+20
0.1116446746746746,1.6657496829863926e+20
0.1126271271271271,1.6714603778639843e+20
0.1136095795795795,1.676645912848033e+20
0.114592032032032,1.681308822206214e+20
0.1155744844844844,1.685452083737518e+20
0.1165569369369369,1.6890791026888275e+20
0.1175393893893893,1.6921936953461185e+20
0.1185218418418418,1.694800072348796e+20
0.1195042942942943,1.6969028217785038e+20
0.1204867467467467,1.6985068920694404e+20
0.1214691991991992,1.6996175747873027e+20
0.1224516516516516,1.7002404873235615e+20
0.1234341041041041,1.70038155554769e+20
0.1244165565565565,1.7000469964610483e+20
0.125399009009009,1.6992433008932985e+20
0.1263814614614614,1.6979772162799246e+20
0.1273639139139139,1.6962557295589156e+20
0.1283463663663663,1.694086050222967e+20
0.1293288188188188,1.6914755935601472e+20
0.1303112712712712,1.688431964113723e+20
0.1312937237237237,1.6849629394030857e+20
0.1322761761761761,1.6810764538997808e+20
0.1332586286286286,1.6767805833450825e+20
0.134241081081081,1.672083529365258e+20
